GridSize,Walls,AStar_Time,AStar_Expanded,PDDL_Time,PDDL_Expanded
5,10,0.0006189346313476562,31,0.15886807441711426,110
5,10,0.00014591217041015625,5,0.12046194076538086,361
5,10,TIMEOUT,0,0.1342451572418213,809
6,12,TIMEOUT,0,0.10801911354064941,4
6,12,0.0005521774291992188,18,0.11458206176757812,13
6,12,0.0005249977111816406,18,0.11341190338134766,88
7,14,TIMEOUT,0,0.592336893081665,5073
7,14,0.0002880096435546875,6,0.18099713325500488,426
7,14,TIMEOUT,0,TIMEOUT,0
8,16,0.0016009807586669922,94,0.3233191967010498,1757
8,16,TIMEOUT,0,2.3096871376037598,16111
8,16,TIMEOUT,0,1.8186490535736084,13808
9,18,TIMEOUT,0,7.732784032821655,46378
9,18,TIMEOUT,0,2.143815279006958,11483
9,18,TIMEOUT,0,0.7797410488128662,3235
10,20,TIMEOUT,0,0.1723768711090088,11
10,20,6.914138793945312e-05,1,1.8971221446990967,7219
10,20,0.0006959438323974609,18,0.5945999622344971,1896
